Id,MSSubClass,LotFrontage,LotArea,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,C (all),FV,RH,RL,RM,Grvl,Pave,Grvl,Pave,Blmngtn,Blueste,BrDale,BrkSide,ClearCr,CollgCr,Crawfor,Edwards,Gilbert,IDOTRR,MeadowV,Mitchel,NAmes,NPkVill,NWAmes,NoRidge,NridgHt,OldTown,SWISU,Sawyer,SawyerW,Somerst,StoneBr,Timber,Veenker,Flat,Gable,Gambrel,Hip,Mansard,Shed,ClyTile,CompShg,Membran,Metal,Roll,Tar&Grv,WdShake,WdShngl,AsbShng,AsphShn,BrkComm,BrkFace,CBlock,CemntBd,HdBoard,ImStucc,MetalSd,Plywood,Stone,Stucco,VinylSd,Wd Sdng,WdShing,AsbShng,AsphShn,Brk Cmn,BrkFace,CBlock,CmentBd,HdBoard,ImStucc,MetalSd,Other,Plywood,Stone,Stucco,VinylSd,Wd Sdng,Wd Shng,BrkCmn,BrkFace,None,Stone,BrkTil,CBlock,PConc,Slab,Stone,Wood,Floor,GasA,GasW,Grav,OthW,Wall,FuseA,FuseF,FuseP,Mix,SBrkr,Gar2,Othr,Shed,TenC,SalePrice
11,20,70,11200,1,1,1,1,1,3,3,1,1,5,5,1965,1965,0,3,3,3,3,1,3,906,1,0,134,1040,5,2,1040,0,0,1040,1,0,1,0,3,1,3,5,8,0,0,1,1965,1,1,384,3,3,3,0,0,0,0,0,0,0,0,0,2,2008,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,129500
12,60,85,11924,2,1,1,1,1,3,3,1,4,9,5,2005,2006,286,5,3,5,3,1,6,998,1,0,177,1175,5,2,1182,1142,0,2324,1,0,3,0,4,1,5,11,8,2,4,3,2005,3,3,736,3,3,3,147,21,0,0,0,0,0,0,0,7,2006,4,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,345000
13,20,0,12968,3,1,1,1,1,3,3,1,1,5,6,1962,1962,0,3,3,3,3,1,5,737,1,0,175,912,3,2,912,0,0,912,1,0,1,0,2,1,3,4,8,0,0,1,1962,1,1,352,3,3,3,140,0,0,0,176,0,0,0,0,9,2008,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,144000
14,20,91,10652,2,1,1,1,1,3,3,1,1,7,5,2006,2007,306,4,3,4,3,3,1,0,1,0,1494,1494,5,2,1494,0,0,1494,0,0,2,0,3,1,4,7,8,1,4,5,2006,2,3,840,3,3,3,160,33,0,0,0,0,0,0,0,8,2007,4,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,279500
15,20,0,10920,2,1,1,2,1,3,3,1,1,6,5,1960,1960,212,3,3,3,3,1,4,733,1,0,520,1253,3,2,1253,0,0,1253,1,0,1,1,2,1,3,5,8,1,2,5,1960,2,1,352,3,3,3,0,213,176,0,0,0,0,2,0,5,2008,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,157000
16,45,51,6120,1,1,1,2,1,3,3,1,3,7,8,1929,2001,0,3,3,3,3,1,1,0,1,0,832,832,5,2,854,0,0,854,0,0,1,0,2,1,3,5,8,0,0,1,1991,1,2,576,3,3,3,48,112,0,0,0,0,0,4,0,7,2007,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,132000
17,20,0,11241,2,1,1,3,1,3,3,1,1,6,7,1970,1970,180,3,3,3,3,1,5,578,1,0,426,1004,5,2,1004,0,0,1004,1,0,1,0,2,1,3,5,8,1,3,5,1970,3,2,480,3,3,3,0,0,0,0,0,0,0,0,700,3,2010,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,149000
18,90,72,10791,1,1,1,1,1,3,3,3,1,4,5,1967,1967,0,3,3,0,0,0,0,0,0,0,0,0,3,2,1296,0,0,1296,0,0,2,0,2,2,3,6,8,0,0,2,1967,1,2,516,3,3,3,0,0,0,0,0,0,0,0,500,10,2006,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,90000
19,20,66,13695,1,1,1,1,1,9,3,1,1,5,5,2004,2004,0,3,3,3,3,1,6,646,1,0,468,1114,5,2,1114,0,0,1114,1,0,1,1,3,1,4,6,8,0,0,1,2004,1,2,576,3,3,3,0,102,0,0,0,0,0,0,0,6,2008,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,159000
20,20,70,7560,1,1,1,1,1,3,3,1,1,5,6,1958,1965,0,3,3,3,3,1,2,504,1,0,525,1029,3,2,1339,0,0,1339,0,0,1,0,3,1,3,6,7,0,0,5,1958,1,1,294,3,3,3,0,0,0,0,0,0,0,3,0,5,2009,5,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,139000
21,60,101,14215,2,1,1,2,1,3,3,1,4,8,5,2005,2006,380,4,3,5,3,3,1,0,1,0,1158,1158,5,2,1158,1218,0,2376,0,0,3,1,4,1,4,9,8,1,4,3,2005,2,3,853,3,3,3,240,154,0,0,0,0,0,0,0,11,2006,4,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,325300
22,45,57,7449,1,2,1,1,1,3,3,1,3,7,7,1930,1950,0,3,3,3,3,1,1,0,1,0,637,637,5,2,1108,0,0,1108,0,0,1,0,3,1,4,6,8,1,4,5,1930,1,1,280,3,3,1,0,0,205,0,0,0,0,4,0,6,2007,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,139400
23,20,75,9742,1,1,1,1,1,3,3,1,1,8,5,2002,2002,281,4,3,4,3,1,1,0,1,0,1777,1777,5,2,1795,0,0,1795,0,0,2,0,3,1,4,7,8,1,4,5,2002,2,2,534,3,3,3,171,159,0,0,0,0,0,0,0,9,2008,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,230000
24,120,44,4224,1,1,1,1,1,3,3,4,1,5,7,1976,1976,0,3,3,4,3,1,6,840,1,0,200,1040,3,2,1060,0,0,1060,1,0,1,0,3,1,3,6,8,1,3,5,1976,1,2,572,3,3,3,100,110,0,0,0,0,0,0,0,6,2007,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,129900
25,20,0,8246,2,1,1,1,1,3,3,1,1,5,8,1968,2001,0,3,4,3,3,2,3,188,5,668,204,1060,5,2,1060,0,0,1060,1,0,1,0,3,1,4,6,8,1,3,5,1968,1,1,270,3,3,3,406,90,0,0,0,0,0,3,0,5,2010,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,154000
26,20,110,14230,1,1,1,2,1,3,3,1,1,8,5,2007,2007,640,4,3,4,3,1,1,0,1,0,1566,1566,5,2,1600,0,0,1600,0,0,2,0,3,1,4,7,8,1,4,5,2007,2,3,890,3,3,3,0,56,0,0,0,0,0,0,0,7,2009,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,256300
27,20,60,7200,1,1,1,2,1,3,3,1,1,5,7,1951,2000,0,3,3,3,3,2,4,234,3,486,180,900,3,2,900,0,0,900,0,1,1,0,3,1,4,5,8,0,0,1,2005,1,2,576,3,3,3,222,32,0,0,0,0,0,0,0,5,2010,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,134800
28,20,98,11478,1,1,1,1,1,3,3,1,1,8,5,2007,2008,200,4,3,5,3,1,6,1218,1,0,486,1704,5,2,1704,0,0,1704,1,0,2,0,3,1,4,7,8,1,4,5,2008,2,3,772,3,3,3,0,50,0,0,0,0,0,0,0,5,2010,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,306000
29,20,47,16321,2,1,1,3,1,3,3,1,1,5,6,1957,1997,0,3,3,3,3,4,4,1277,1,0,207,1484,3,2,1600,0,0,1600,1,0,1,0,2,1,3,6,8,2,4,5,1957,2,1,319,3,3,3,288,258,0,0,0,0,0,0,0,12,2006,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,207500
30,30,60,6324,2,1,1,1,1,2,4,1,1,4,6,1927,1950,0,3,3,3,3,1,1,0,1,0,520,520,2,1,520,0,0,520,0,0,1,0,1,1,2,4,8,0,0,1,1920,1,1,240,2,3,3,49,0,87,0,0,0,0,0,0,5,2008,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,68500
31,70,50,8500,1,1,1,1,1,2,3,1,4,4,4,1920,1950,0,3,2,3,3,1,1,0,1,0,649,649,3,1,649,668,0,1317,0,0,1,0,3,1,3,6,8,0,0,1,1920,1,1,250,3,2,1,0,54,172,0,0,0,0,3,0,7,2008,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,40000
32,20,0,8544,2,1,1,3,1,3,3,1,1,5,6,1966,2006,0,3,3,3,3,1,1,0,1,0,1228,1228,4,2,1228,0,0,1228,0,0,1,1,3,1,4,6,8,0,0,5,1966,1,1,271,3,3,3,0,65,0,0,0,0,0,3,0,6,2008,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,149350
33,20,85,11049,1,1,1,2,1,3,3,1,1,8,5,2007,2007,0,4,3,5,3,3,1,0,1,0,1234,1234,5,2,1234,0,0,1234,0,0,2,0,3,1,4,7,8,0,0,5,2007,2,2,484,3,3,3,0,30,0,0,0,0,0,0,0,1,2008,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,179900
