,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,NoRidge,NridgHt,VinylSd,VinylSd.1,Stone.2,PConc
51,6,1934,1950,0,3,3,1,1,0,816,3,816,0,1176,1,3,6,1,4,1,1,2,528,112,0,0,0,0,0,0,1
52,5,1963,1963,0,2,4,4,2,104,816,3,816,0,816,1,3,5,0,0,2,1,2,516,106,0,0,0,0,0,0,0
53,9,1981,1987,0,4,5,4,6,1810,1842,4,1842,0,1842,0,4,5,1,4,5,3,3,894,857,72,0,0,0,0,0,0
54,5,1955,1955,0,3,3,1,5,384,384,3,1360,0,1360,1,3,6,1,3,1,1,2,572,0,50,0,0,0,0,0,0
55,6,1964,1964,272,3,3,1,4,490,1425,4,1425,0,1425,2,3,7,1,4,5,2,2,576,0,0,0,0,0,0,0,0
56,8,1999,2000,456,4,4,1,6,649,970,5,983,756,1739,2,4,7,0,0,5,3,2,480,115,0,0,0,0,0,0,1
57,7,2004,2004,0,4,4,1,1,0,860,5,860,860,1720,2,4,7,0,0,5,2,2,565,0,70,0,0,1,1,0,1
58,10,2006,2006,1031,5,5,4,1,0,1410,5,1426,1519,2945,3,4,10,1,4,3,3,3,641,192,0,0,0,1,1,0,1
59,5,1972,1972,0,3,3,3,5,632,780,5,780,0,780,1,3,4,0,0,1,1,1,352,196,0,0,0,0,0,0,0
60,6,2004,2004,0,3,4,1,5,941,1158,5,1158,0,1158,1,4,5,0,0,1,1,2,576,0,50,0,0,1,1,0,1
61,5,1920,1996,0,3,3,1,1,0,530,3,581,530,1111,1,2,6,0,0,1,1,1,288,0,0,0,0,0,0,0,0
62,8,2006,2006,178,4,4,2,6,24,1370,5,1370,0,1370,2,4,6,1,4,5,2,2,484,120,49,0,1,1,1,1,1
63,7,1921,1950,0,3,3,1,1,0,576,4,902,808,1710,2,3,9,0,0,1,1,2,480,12,11,0,0,0,0,0,0
64,7,1997,1998,573,3,4,1,6,739,1057,5,1057,977,2034,2,4,8,0,0,5,2,2,645,576,36,0,0,1,1,0,1
65,8,2004,2005,344,4,5,3,1,0,1143,5,1143,1330,2473,2,4,9,1,4,3,2,3,852,192,151,0,1,1,1,0,1
66,7,1970,1989,287,3,4,4,6,912,1947,3,2207,0,2207,2,3,7,1,4,5,2,2,576,301,0,0,0,0,0,0,0
67,7,2003,2003,167,4,4,3,6,1013,1453,5,1479,0,1479,2,4,7,0,0,5,2,2,558,144,29,0,0,1,1,0,1
68,4,1945,1950,0,3,3,1,1,0,747,3,747,0,747,1,3,4,0,0,5,1,1,220,0,0,0,0,0,0,0,0
69,7,1953,1953,0,4,3,1,4,603,1304,3,1304,983,2287,2,3,7,1,3,5,3,2,667,0,21,0,0,0,0,0,0
70,7,1973,1973,1115,3,4,4,5,1880,2223,5,2223,0,2223,2,3,8,2,4,5,3,2,516,300,0,0,0,0,0,0,0
71,4,1982,2006,0,3,3,1,5,565,845,3,845,0,845,1,3,4,0,0,1,1,2,360,0,0,0,0,0,0,0,0
72,7,1998,1998,40,3,4,1,1,0,832,4,885,833,1718,2,3,7,1,3,5,3,2,427,0,94,0,0,1,1,0,1
73,5,1954,2003,104,3,3,1,5,320,1086,4,1086,0,1086,1,3,6,0,0,5,1,2,490,0,0,0,0,0,0,0,0
74,3,1915,1950,0,4,2,1,1,0,840,4,840,765,1605,2,3,8,0,0,1,1,1,379,0,0,0,0,1,1,0,0
75,4,1973,1973,0,3,4,4,6,462,462,3,526,462,988,1,3,5,0,0,3,1,1,297,120,101,0,0,0,0,0,0
76,4,1956,1956,0,3,3,1,5,228,952,5,952,0,952,1,3,4,0,0,1,1,1,283,0,0,0,0,1,1,0,0
77,5,1948,2001,0,3,3,1,4,336,672,3,1072,213,1285,1,3,6,0,0,1,1,1,240,0,0,0,0,0,0,0,0
78,4,1968,1968,0,3,3,1,1,0,1768,3,1768,0,1768,2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,5,1910,1981,0,3,3,1,1,0,440,4,682,548,1230,1,3,5,0,0,1,1,2,440,74,0,0,0,0,0,0,1
80,6,1968,1968,576,3,4,1,3,448,896,3,1182,960,2142,2,4,8,1,4,5,3,1,509,0,72,0,0,1,1,0,0
81,6,1998,1998,443,3,5,1,6,1201,1237,5,1337,0,1337,2,3,5,0,0,5,3,2,405,0,199,0,0,1,1,0,1
82,8,2007,2007,468,3,4,1,6,33,1563,5,1563,0,1563,2,4,6,1,4,5,2,3,758,144,99,0,0,1,1,1,1
83,5,1960,1960,66,3,3,1,1,0,1065,4,1065,0,1065,1,3,6,0,0,1,1,2,461,74,0,0,0,0,0,0,0
84,7,1995,1996,22,3,4,1,1,0,384,4,804,670,1474,2,3,7,1,3,3,3,2,400,120,72,0,0,0,0,0,1
85,8,1991,1992,284,4,4,1,1,0,1288,5,1301,1116,2417,2,4,9,1,3,5,1,2,462,127,82,1,0,0,0,0,0
86,6,2005,2005,0,4,4,3,1,0,684,5,684,876,1560,2,4,6,1,4,3,3,2,400,100,38,0,0,1,1,0,1
87,6,2009,2009,76,4,4,3,1,0,612,5,612,612,1224,2,4,4,0,0,1,2,2,528,0,234,0,0,1,1,1,1
88,3,1915,1982,0,2,3,1,1,0,1013,3,1013,0,1526,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,4,1994,1995,0,3,4,1,6,588,990,5,990,0,990,1,3,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1
90,4,1950,1950,0,3,0,0,0,0,0,3,1040,0,1040,1,3,4,0,0,1,1,2,420,0,29,0,0,0,0,0,0
91,5,1961,1961,203,3,3,1,3,600,1235,3,1235,0,1235,1,3,6,0,0,5,1,2,480,0,0,0,0,0,0,0,0
92,5,1921,2006,0,3,4,1,5,713,876,5,964,0,964,1,3,5,0,0,1,1,2,432,0,0,0,0,0,0,0,0
93,6,1910,1998,0,3,3,2,3,1046,1214,5,1260,1031,2291,2,3,9,1,4,1,1,2,506,0,0,0,0,0,0,0,0
94,6,1997,1997,0,3,4,1,6,648,824,5,905,881,1786,2,4,7,0,0,5,2,2,684,0,162,0,0,1,1,0,1
95,6,1993,1993,68,5,4,1,5,310,680,4,680,790,1470,2,3,6,1,3,3,3,2,420,232,63,0,0,1,1,0,1
96,7,1999,1999,183,4,4,3,5,1162,1588,5,1588,0,1588,2,4,6,0,0,5,2,2,472,158,29,0,0,1,1,0,1
97,4,1965,1965,48,3,3,1,3,520,960,3,960,0,960,1,3,6,0,0,5,3,1,432,120,0,0,0,0,0,0,0
98,5,1920,1950,0,3,3,1,5,108,458,2,835,0,835,1,3,5,0,0,4,1,1,366,0,0,0,0,0,0,0,0
99,4,1959,1959,0,3,3,1,5,569,950,2,1225,0,1225,1,3,6,0,0,0,0,0,0,352,0,0,0,0,0,0,0
100,6,1977,2001,28,3,3,2,5,1200,1610,4,1610,0,1610,2,4,6,2,3,5,2,2,480,168,68,0,0,0,0,0,1
101,6,1985,1985,336,4,4,1,1,0,741,3,977,755,1732,2,4,7,1,3,5,3,2,476,192,46,0,0,0,0,0,0
102,5,1979,1979,0,3,0,0,0,0,0,3,1535,0,1535,2,3,8,0,0,5,1,2,410,0,0,0,0,0,0,0,0
103,7,2009,2009,0,3,4,1,1,0,1226,5,1226,0,1226,2,4,6,0,0,5,2,3,740,0,36,0,0,1,1,0,1
104,7,1931,1950,600,3,3,1,2,224,1040,5,1226,592,1818,1,3,7,2,3,1,1,1,240,0,0,0,0,0,0,0,1
105,8,2003,2004,768,4,5,1,1,0,1053,5,1053,939,1992,2,4,9,1,4,5,2,2,648,140,45,0,0,1,1,0,1
106,4,1885,1995,0,3,2,1,1,0,641,4,1047,0,1047,1,3,6,0,0,1,1,1,273,0,0,0,0,1,1,0,0
107,5,1948,1950,0,3,3,1,5,104,789,5,789,0,789,1,3,5,0,0,1,1,1,250,0,0,0,0,1,1,0,0
108,5,1919,2005,0,3,3,1,1,0,793,3,997,520,1517,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,6,1977,1977,480,3,4,1,4,705,1844,5,1844,0,1844,2,3,7,1,3,5,2,2,546,0,122,0,0,0,0,0,0
110,6,1954,1972,0,3,3,1,3,444,994,4,1216,639,1855,2,3,7,0,0,5,1,1,325,182,0,0,0,0,0,0,0
111,7,2000,2000,0,3,4,1,6,250,384,5,774,656,1430,2,3,7,1,3,3,3,2,400,180,0,0,0,1,1,0,1
112,7,2007,2007,220,4,5,3,6,984,1264,5,1282,1414,2696,2,5,10,1,4,3,3,3,792,120,184,0,0,1,1,1,1
113,6,1953,1953,184,3,4,2,5,35,1809,3,2259,0,2259,2,4,7,2,4,4,1,2,450,166,120,0,0,0,0,0,0
114,6,1945,2002,0,3,3,1,5,774,1028,5,1436,884,2320,2,4,9,1,3,1,1,1,180,224,0,0,0,0,0,0,0
115,6,1999,1999,1129,3,4,1,6,419,729,4,729,729,1458,2,3,5,1,2,1,1,2,440,0,32,0,0,0,0,0,1
116,5,1962,1962,116,3,3,1,2,170,1092,3,1092,0,1092,1,3,6,1,1,5,1,1,288,0,20,0,0,0,0,0,0
117,5,2006,2007,0,3,4,1,1,0,1125,4,1125,0,1125,1,3,5,0,0,5,1,2,430,80,64,0,0,1,1,0,1
118,7,1990,1990,0,3,4,2,6,1470,1673,4,1699,1523,3222,3,4,11,2,3,5,1,3,594,367,0,0,0,0,0,0,1
119,6,2005,2006,0,4,4,1,1,0,728,5,728,728,1456,2,4,8,1,4,5,3,2,390,0,24,0,0,1,1,0,1
120,6,1969,1969,0,3,3,4,5,938,938,5,988,0,988,1,3,4,2,3,5,1,2,540,0,130,0,0,0,0,0,0
121,4,1939,1950,0,3,3,1,1,0,732,4,772,351,1123,1,3,4,0,0,1,1,1,264,0,0,0,0,0,0,0,1
122,6,1958,1958,135,3,3,1,4,570,1080,4,1080,0,1080,1,3,5,0,0,5,1,1,288,0,0,0,0,0,0,0,0
123,6,1993,1993,0,4,4,1,6,300,1199,5,1199,0,1199,2,4,5,0,0,5,2,2,530,0,63,0,0,0,0,0,1
124,6,1979,1998,0,3,4,1,1,0,1362,3,1586,0,1586,2,3,7,1,3,5,1,2,435,192,0,0,0,0,0,0,0
125,6,1935,1982,0,3,3,3,6,490,520,4,520,0,754,1,3,5,0,0,0,0,0,0,53,0,0,0,0,0,0,0
126,6,1976,1976,0,3,4,1,5,120,1078,3,958,0,958,2,3,5,1,3,5,2,2,440,0,205,0,0,0,0,0,0
127,5,1930,1950,0,3,3,1,2,116,672,5,840,0,840,1,3,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0
128,6,1966,1966,266,3,3,1,4,512,660,3,660,688,1348,1,3,6,1,2,5,2,2,453,188,108,0,0,1,1,0,0
129,5,1958,1991,85,3,3,1,3,567,1008,3,1053,0,1053,1,5,6,0,0,6,2,2,750,0,80,0,0,0,0,0,0
130,7,1966,1966,309,3,3,1,3,445,924,5,1216,941,2157,2,4,8,2,4,5,3,2,487,105,66,0,0,0,0,0,0
131,6,2000,2000,40,4,4,1,6,695,992,5,1022,1032,2054,2,4,7,1,3,3,2,2,390,24,48,0,0,1,1,0,1
132,5,1959,2002,0,3,3,1,3,405,1063,4,1327,0,1327,1,4,7,0,0,1,1,2,624,0,0,0,0,0,0,0,0
133,8,2001,2002,136,4,5,1,6,1005,1267,5,1296,0,1296,2,4,6,0,0,5,3,2,471,192,25,0,0,1,1,0,1
134,5,1968,1993,0,3,3,1,3,570,1461,4,1721,0,1721,2,3,7,1,3,5,2,2,440,0,96,0,0,0,0,0,0
135,7,1970,1970,288,3,3,1,1,0,1304,4,1682,0,1682,2,3,7,1,4,5,1,2,530,98,0,0,0,0,0,0,1
136,5,1967,1967,196,3,3,1,4,695,1214,3,1214,0,1214,2,3,5,1,2,5,2,1,318,0,111,0,0,0,0,0,0
137,7,1988,1989,70,3,3,1,1,0,1907,4,1959,0,1959,3,3,9,0,0,6,1,3,766,0,0,0,0,1,1,0,0
138,8,1999,2000,320,4,4,2,6,668,1004,5,1004,848,1852,2,4,7,2,3,5,3,3,660,224,106,0,0,1,1,0,1
139,6,1997,1997,0,3,4,1,6,821,928,5,928,836,1764,2,4,7,0,0,5,2,2,470,276,99,0,0,1,1,0,1
140,4,1971,1971,0,3,3,1,5,432,864,3,864,0,864,1,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
141,7,2005,2005,0,4,4,3,6,1300,1734,5,1734,0,1734,2,4,7,0,0,5,3,2,660,160,24,0,0,1,1,0,1
142,5,1952,1952,0,3,3,1,3,507,910,2,910,475,1385,2,3,6,0,0,1,1,2,720,0,0,0,0,0,0,0,0
143,7,1999,1999,183,4,4,4,6,679,1490,5,1501,0,1501,2,4,6,0,0,5,2,2,577,144,29,0,0,1,1,0,1
144,5,1963,1963,336,3,3,1,3,1332,1728,3,1728,0,1728,2,3,10,0,0,1,1,2,504,0,0,0,0,0,0,0,0
145,6,2004,2006,50,4,4,1,1,0,970,5,970,739,1709,2,4,7,0,0,1,1,2,380,0,40,0,0,1,1,1,1
146,5,1931,1993,0,3,3,1,4,209,715,3,875,0,875,1,3,5,0,0,1,1,1,180,48,0,0,0,0,0,0,0
147,7,2001,2001,180,4,4,1,1,0,884,5,884,1151,2035,2,4,8,1,4,3,3,2,434,144,48,0,0,1,1,0,1
148,7,2004,2005,120,3,4,1,6,680,1080,5,1080,0,1080,1,4,6,0,0,0,0,0,0,0,0,0,0,1,1,0,1
149,5,1936,1950,0,3,4,1,1,0,896,4,896,448,1344,1,3,7,0,0,1,1,1,240,200,114,0,0,0,0,0,0
150,5,1975,1975,0,3,3,3,4,716,969,3,969,0,969,1,3,5,0,0,5,1,2,440,0,0,0,0,0,0,0,0
151,8,2007,2008,436,4,5,4,6,1400,1710,5,1710,0,1710,2,4,6,1,4,5,2,3,866,0,102,0,1,1,1,1,1
152,6,1971,1971,252,3,3,1,3,416,825,4,1097,896,1993,2,3,8,1,4,5,2,2,495,0,66,0,0,0,0,0,0
153,6,1960,1975,0,3,4,4,4,429,1602,4,1252,0,1252,1,3,4,1,4,5,2,2,564,409,0,0,0,0,0,0,0
154,6,1923,1950,0,3,3,1,1,0,1200,3,1200,0,1200,1,3,7,0,0,1,1,1,312,0,0,0,0,0,0,0,0
155,6,1924,1950,0,3,3,1,1,0,572,2,572,524,1096,1,3,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0
156,5,1950,1950,0,3,0,0,0,0,0,3,1040,0,1040,1,3,5,0,0,1,1,2,625,0,0,0,0,0,0,0,0
157,8,2009,2010,84,4,5,1,1,0,774,5,774,1194,1968,2,5,8,1,4,3,3,3,680,0,75,0,0,1,1,0,1
158,7,2004,2005,0,4,4,1,6,222,991,5,991,956,1947,2,4,8,1,4,5,2,2,678,0,136,0,0,1,1,0,1
159,7,2005,2006,456,4,4,2,6,57,1392,5,1392,1070,2462,2,4,9,1,4,5,2,2,576,239,132,0,0,1,1,0,1
160,6,1984,1984,0,3,4,1,4,660,1232,3,1232,0,1232,2,3,6,0,0,5,1,2,516,0,0,0,0,0,0,0,1
161,9,2003,2004,664,4,5,3,6,1016,1572,5,1572,1096,2668,2,5,10,2,4,3,3,3,726,400,0,0,1,1,1,0,1
162,7,2005,2005,226,4,4,2,4,1201,1541,5,1541,0,1541,2,4,7,1,4,5,2,2,532,0,70,0,1,1,1,0,1
163,4,1956,1956,0,3,3,1,1,0,882,5,882,0,882,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,6,1926,2004,0,3,3,2,2,370,1149,4,1149,467,1616,2,4,5,0,0,1,1,1,216,0,0,0,0,0,0,0,0
165,5,1940,1999,0,3,3,1,5,351,644,4,808,547,1355,2,3,6,0,0,0,0,0,0,140,0,0,0,0,0,0,0
166,5,1955,1993,0,4,3,1,2,379,1617,5,1867,0,1867,1,3,7,3,4,5,3,1,303,476,0,0,0,0,0,0,0
167,8,2007,2007,300,4,5,1,6,1288,1582,5,1610,551,2161,1,5,8,1,4,5,3,3,789,178,120,0,1,1,1,1,1
168,7,2004,2004,0,4,4,1,1,0,840,5,840,880,1720,2,4,7,1,4,5,3,2,440,100,48,0,0,1,1,0,1
169,8,1981,1981,653,4,4,1,1,0,1686,3,1707,0,1707,2,3,6,1,3,5,2,2,511,574,64,0,0,0,0,0,0
170,5,1941,1950,0,3,3,1,3,360,720,3,854,0,1382,1,3,7,0,0,1,1,2,660,237,0,0,0,0,0,0,0
171,6,1960,1960,112,3,3,4,4,639,1080,2,1656,0,1656,1,3,7,2,4,5,3,2,528,210,62,0,0,0,0,1,0
172,7,1987,1987,0,4,4,1,6,495,1064,4,1064,703,1767,2,4,5,1,3,5,2,2,504,441,35,0,0,0,0,0,1
173,6,1961,1961,491,3,3,1,5,288,1362,3,1362,0,1362,1,3,6,1,3,5,1,2,504,0,20,0,0,0,0,0,0
174,6,1986,1986,132,3,4,1,5,1398,1606,3,1651,0,1651,2,3,7,1,3,5,3,2,616,192,0,0,0,1,0,1,0
175,6,1950,2001,0,3,3,3,5,477,1202,3,2158,0,2158,2,4,7,1,4,5,1,2,576,0,29,0,0,0,0,0,0
176,6,1988,1989,268,4,4,1,6,831,1151,3,1164,896,2060,2,3,8,1,3,5,1,2,521,0,228,0,0,0,0,0,1
177,5,1958,1958,0,4,3,1,5,57,1052,5,1252,668,1920,2,4,8,1,4,5,1,2,451,0,0,0,0,0,0,0,0
178,9,2008,2009,748,5,5,1,6,1904,2216,5,2234,0,2234,2,5,9,1,4,5,3,3,1166,0,60,0,0,1,1,1,1
179,5,1923,2006,0,4,3,1,1,0,968,3,968,0,968,1,3,5,0,0,1,1,2,480,0,0,0,0,0,0,0,0
180,6,2000,2000,456,4,4,1,6,436,756,5,769,756,1525,2,4,5,1,3,1,1,2,440,0,0,0,0,0,0,0,1
181,7,1920,1950,0,3,2,1,2,352,793,4,901,901,1802,1,3,9,1,4,1,1,1,216,0,0,0,0,0,0,0,0
182,5,1957,2006,98,3,0,0,0,0,0,5,1340,0,1340,1,3,7,1,4,5,2,1,252,116,0,0,0,0,0,0,1
183,7,2003,2003,0,3,4,1,1,0,1362,5,1362,720,2082,2,4,6,0,0,1,1,2,484,280,238,0,0,1,1,0,1
184,5,1908,1991,0,3,2,1,1,0,504,4,936,316,1252,1,3,5,0,0,5,1,2,576,104,0,0,0,0,0,0,1
185,10,1892,1993,0,4,3,2,1,0,1107,5,1518,1518,3608,2,5,12,2,3,1,1,3,840,0,260,0,0,0,0,0,0
186,7,1990,1991,0,3,4,3,6,611,1188,5,1217,0,1217,2,4,6,0,0,5,1,2,497,168,27,0,0,0,0,0,1
187,5,1916,1987,0,3,2,1,1,0,660,5,808,704,1656,2,3,8,0,0,1,1,1,180,0,0,0,0,0,0,0,0
188,5,1979,1979,275,3,4,3,6,1086,1086,3,1224,0,1224,0,3,6,2,3,1,1,2,528,120,0,0,0,0,0,1,0
189,8,2001,2002,0,4,5,3,6,1153,1593,5,1593,0,1593,1,5,5,1,4,5,3,2,682,0,120,0,0,0,0,0,1
190,8,1932,1994,0,4,4,1,3,297,853,3,1549,1178,2727,2,4,10,2,3,1,1,2,440,0,74,0,0,0,0,0,0
191,7,1972,2004,138,3,3,1,5,626,725,4,725,754,1479,1,4,7,0,0,5,3,2,484,0,32,0,0,0,0,0,0
192,7,1999,1999,0,4,4,3,6,560,1431,5,1431,0,1431,2,4,6,0,0,5,3,2,666,0,35,0,0,1,1,0,1
193,7,2004,2004,50,4,4,1,1,0,970,5,970,739,1709,2,4,7,0,0,1,1,2,380,0,40,0,0,1,1,1,1
194,5,1972,1972,0,3,3,3,5,390,864,3,864,0,864,1,3,5,0,0,1,1,1,352,0,0,0,0,0,0,0,0
195,6,1976,1976,0,3,4,1,5,566,855,3,855,601,1456,2,3,7,1,3,5,1,2,440,87,0,0,0,0,0,0,0
196,7,2007,2007,205,5,5,1,6,1126,1726,5,1726,0,1726,2,5,8,1,4,5,3,3,786,171,138,0,0,0,0,1,1
197,8,1918,1990,0,4,3,1,6,1036,1360,4,1360,1360,3112,2,4,8,1,5,1,1,2,795,0,16,0,0,0,0,0,1
