Id,MSSubClass,A,LotFrontage,LotArea,Grvl,Grvl,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Flat,ClyTile,Exterior1st,Exterior2nd,BrkCmn,MasVnrArea,ExterQual,ExterCond,BrkTil,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Floor,HeatingQC,CentralAir,SBrkr,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,None,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TenC
42,20,0,115,16905,0,0,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,0,0,VinylSd,VinylSd,0,0,TA,Gd,0,TA,TA,Gd,BLQ,967,Unf,0,383,1350,0,Gd,Y,1,1328,0,0,1328,0,1,1,1,2,1,TA,5,Typ,2,Gd,Attchd,1959,RFn,1,308,TA,TA,P,0,104,0,0,0,0,NA,NA,0,0,7,2007,WD,Normal,170000,0
43,85,0,NA,9180,0,0,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,0,0,HdBoard,HdBoard,0,0,TA,TA,0,Gd,TA,Av,ALQ,747,LwQ,93,0,840,0,Gd,Y,1,884,0,0,884,1,0,1,0,2,1,Gd,5,Typ,0,NA,Attchd,1983,RFn,2,504,TA,Gd,Y,240,0,0,0,0,0,NA,MnPrv,0,0,12,2007,WD,Normal,144000,0
44,20,0,NA,9200,0,0,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,0,0,VinylSd,VinylSd,0,0,TA,TA,0,Gd,TA,Av,LwQ,280,BLQ,491,167,938,0,TA,Y,1,938,0,0,938,1,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1977,Unf,1,308,TA,TA,Y,145,0,0,0,0,0,NA,MnPrv,0,0,7,2008,WD,Normal,130250,0
45,20,0,70,7945,0,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,0,0,BrkFace,Wd Sdng,0,0,TA,TA,0,TA,TA,No,ALQ,179,BLQ,506,465,1150,0,Ex,Y,0,1150,0,0,1150,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1959,RFn,1,300,TA,TA,Y,0,0,0,0,0,0,NA,NA,0,0,5,2006,WD,Normal,141000,0
46,120,0,61,7658,0,0,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,0,0,MetalSd,MetalSd,0,412,Ex,TA,0,Ex,TA,No,GLQ,456,Unf,0,1296,1752,0,Ex,Y,1,1752,0,0,1752,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005,RFn,2,576,TA,TA,Y,196,82,0,0,0,0,NA,NA,0,0,2,2010,WD,Normal,319900,0
47,50,0,48,12822,0,0,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,0,0,VinylSd,VinylSd,0,0,Gd,TA,0,Ex,TA,No,GLQ,1351,Unf,0,83,1434,0,Ex,Y,1,1518,631,0,2149,1,0,1,1,1,1,Gd,6,Typ,1,Ex,Attchd,2003,RFn,2,670,TA,TA,Y,168,43,0,0,198,0,NA,NA,0,0,8,2009,WD,Abnorml,239686,0
48,20,0,84,11096,0,0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,0,0,VinylSd,VinylSd,0,0,Gd,TA,0,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,0,Ex,Y,1,1656,0,0,1656,0,0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,2006,RFn,3,826,TA,TA,Y,0,146,0,0,0,0,NA,NA,0,0,7,2007,WD,Normal,249700,0
49,190,0,33,4456,0,0,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,0,0,MetalSd,MetalSd,0,0,TA,TA,1,TA,TA,No,Unf,0,Unf,0,736,736,0,Gd,Y,1,736,716,0,1452,0,0,2,0,2,3,TA,8,Typ,0,NA,NA,NA,NA,0,0,NA,NA,N,0,0,102,0,0,0,NA,NA,0,0,6,2009,New,Partial,113000,0
50,20,0,66,7742,0,0,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,0,0,HdBoard,HdBoard,0,0,TA,TA,0,TA,TA,No,BLQ,763,Unf,0,192,955,0,Ex,Y,1,955,0,0,955,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1966,Unf,1,386,TA,TA,Y,0,0,0,0,0,0,NA,MnPrv,0,0,1,2007,WD,Normal,127000,0
51,60,0,NA,13869,0,0,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,0,0,VinylSd,VinylSd,0,0,TA,TA,0,Gd,TA,Av,GLQ,182,Unf,0,612,794,0,Gd,Y,1,794,676,0,1470,0,1,2,0,3,1,TA,6,Typ,0,NA,Attchd,1997,Fin,2,388,TA,TA,Y,0,75,0,0,0,0,NA,NA,0,0,7,2007,WD,Normal,177000,0
52,50,0,52,6240,0,0,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,0,0,Wd Sdng,Wd Sdng,0,0,TA,TA,0,TA,TA,No,Unf,0,Unf,0,816,816,0,TA,Y,1,816,0,360,1176,0,0,1,0,3,1,TA,6,Typ,1,Gd,Detchd,1985,Unf,2,528,TA,TA,Y,112,0,0,0,0,0,NA,MnPrv,0,400,9,2006,WD,Normal,114500,0
53,90,0,110,8472,1,0,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,0,0,Wd Sdng,Wd Sdng,0,0,Fa,TA,0,Gd,TA,Gd,LwQ,104,GLQ,712,0,816,0,TA,N,1,816,0,0,816,1,0,1,0,2,1,TA,5,Typ,0,NA,CarPort,1963,Unf,2,516,TA,TA,Y,106,0,0,0,0,0,NA,NA,0,0,5,2010,WD,Normal,110000,0
